id,dataReferencia,codIBGE,nomeIBGE,UFSigla,UFNome,valor,qtdBeneficiados
75908792,2013-01-01,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11450358.0,63239
72208975,2013-01-02,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11034212.0,61121
63909551,2013-01-03,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11435012.0,61189
74709431,2013-01-04,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,10762080.0,59505
73009570,2013-01-05,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11761262.0,67777
69607710,2013-01-06,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11652876.0,67584
63407668,2013-01-07,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11775404.0,67834
66507618,2013-01-08,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11270496.0,65679
67808316,2013-01-09,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11306394.0,66339
70508947,2013-01-10,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11311804.0,66315
70608739,2013-01-11,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11244368.0,65867
67508788,2013-01-12,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11877882.0,71067
67609244,2014-01-01,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11764168.0,71660
70109632,2014-01-02,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11776912.0,72129
67509671,2014-01-03,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11589964.0,71909
72411093,2014-01-04,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11712416.0,72858
70210449,2014-01-05,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11564812.0,72792
72408311,2014-01-06,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13284577.0,73554
70607832,2014-01-07,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12727123.0,70955
68508620,2014-01-08,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12613837.0,70011
70008791,2014-01-09,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12658304.0,70111
67909032,2014-01-10,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12622220.0,70189
65509238,2014-01-11,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12665112.0,70418
67609576,2014-01-12,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12641683.0,70235
75909347,2015-01-01,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12387614.0,70209
71509343,2015-01-02,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12394156.0,70405
64310986,2015-01-03,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12380693.0,70291
67307312,2015-01-04,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11579572.0,66728
70907984,2015-01-05,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11586349.0,66649
64008125,2015-01-06,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11614933.0,66738
68108187,2015-01-07,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12259086.0,70747
69708058,2015-01-08,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12220229.0,70598
62408422,2015-01-09,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13631107.0,83052
67909503,2015-01-10,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13278408.0,81578
71909313,2015-01-11,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13001531.0,80663
74610340,2015-01-12,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13106388.0,81592
74510309,2016-01-01,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11923719.0,77015
67409382,2016-01-02,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11798454.0,76969
72107218,2016-01-03,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11054730.0,73899
65807720,2016-01-04,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11253419.0,75093
68307967,2016-01-05,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11257634.0,74976
63608796,2016-01-06,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11243123.0,75117
63508722,2016-01-07,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13441697.0,79633
66908554,2016-01-08,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13477584.0,79581
66209015,2016-01-09,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13556980.0,81979
66609506,2016-01-10,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13959635.0,84746
68810441,2016-01-11,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13851518.0,83584
70609861,2016-01-12,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13681214.0,83792
71410097,2017-01-01,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12683244.0,80364
73910049,2017-01-02,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13023031.0,81644
64907544,2017-01-03,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12886632.0,81490
75207612,2017-01-04,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12916863.0,81787
72708005,2017-01-05,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12575427.0,79480
68608712,2017-01-06,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12563397.0,79327
71908494,2017-01-07,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12155679.0,75930
67408555,2017-01-08,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12501304.0,78072
75909311,2017-01-09,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12415295.0,77214
65109509,2017-01-10,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12608654.0,78695
68310596,2017-01-11,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12618924.0,77370
64710568,2017-01-12,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12782142.0,79163
75210095,2018-01-01,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12984317.0,80959
66707529,2018-01-02,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13214312.0,81831
72307940,2018-01-03,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13330892.0,82987
63008446,2018-01-04,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12400467.0,76884
72909021,2018-01-05,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12420713.0,76848
75708301,2018-01-06,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11949954.0,74093
75508858,2018-01-07,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12639744.0,73519
64409841,2018-01-08,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12851306.0,74980
63309786,2018-01-09,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12494225.0,72125
72010547,2018-01-10,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13076889.0,74646
65707026,2018-01-11,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13230081.0,75422
71907261,2018-01-12,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12720508.0,70924
63307444,2019-01-01,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12013474.0,66650
62507269,2019-01-02,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12182160.0,67199
73307746,2019-01-03,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12650161.0,68326
69508161,2019-01-04,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12428435.0,67769
69108783,2019-01-05,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12836151.0,68582
65809070,2019-01-06,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13014762.0,67798
63409377,2019-01-07,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12785097.0,66973
62609775,2019-01-08,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12777293.0,67214
71010608,2019-01-09,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12459837.0,65270
73009437,2019-01-10,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12583058.0,65446
69210574,2019-01-11,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12110463.0,61517
66307873,2019-01-12,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12284381.0,62034
67007738,2020-01-01,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12109549.0,61776
